Matricule  Note (/100)  Lettre
?085764:   81.65        A-
?065143:   89.25        A+
?107234:   92.8         A+
?205936:   62.4         C
?064947:   72.65        B-
?116135:   57.2         C-
?062976:   63.2         C
?101338:   96.3         A+
?007803:   68.15        C+
?035275:   50.65        D
?031180:   84.75        A
?835945:   80.65        A-
?074801:   87.05        A+
?052923:   51.65        D
?053307:   88.55        A+
?075447:   94.9         A+
?081857:   64.4         C
?098086:   92.7         A+
Moyenne:   76.60
