Matricule  Note (/100)  Lettre
?017475:   69.4         C+
?642619:   101.05       A+
?121229:   74.35        B
?110676:   59.65        C-
?116135:   61.35        C
?093515:   59.0         C-
?098690:   77.9         B+
?096745:   62.5         C
?201319:   51.4         D
?085356:   78.1         B+
?125680:   52.8         D
?107216:   86.65        A
?102202:   96.95        A+
?101143:   74.9         B
?099966:   70.5         B-
?021923:   60.75        C
?134552:   62.85        C
?164298:   76.25        B
?083624:   88.55        A
?163912:   75.7         B
Moyenne:   72.03
